Renewable Sources [kWh],Renewable Share
3092916.6666666665,0.2400804688409641
3220583.333333333,0.23716508953446983
3455000.0,0.2439497978852977
3608166.6666666665,0.24464220131649578
3651999.9999999995,0.2330679515611787
3726499.9999999995,0.2267658558106278
3660416.6666666665,0.22254027763704531
4847166.666666666,0.22017813814223036
3734333.333333333,0.22265172782152884
3828583.333333333,0.22225286021817475
3845666.6666666665,0.22102591120264378
3925916.6666666665,0.22420997525223682
3912500.0,0.22914175553332197
3734749.9999999995,0.22318556218439686
3939250.0,0.2383223510075675
3907333.333333333,0.24860818018896935
3601416.6666666665,0.2525685231722284
2999583.333333333,0.22313762684966493
3012583.333333333,0.23291819417688406
3053416.6666666665,0.23819615542134995
3163000.0,0.2475832648428633
3139916.6666666665,0.2473170507577896
3110166.6666666665,0.24177917130937265
4369416.666666666,0.2691660078645571
4776500.0,0.26934264380401024
4271916.666666666,0.2590715209832619
4144499.9999999995,0.24418313489628085
3716416.6666666665,0.21546213940275288
4434500.0,0.2163135558771402
4233000.0,0.21623416428279527
4066749.9999999995,0.21820547559323394
4105666.6666666665,0.21350413201651938
4183916.6666666665,0.2128596805854097
4146000.0,0.21302687242023055
4301083.333333333,0.2172858736607237
4327833.333333333,0.21823851005803274
4280083.333333333,0.2223727962315126
4977666.666666666,0.22801171130935338
4023833.333333333,0.2251368464242752
4105916.6666666665,0.2390751613372798
3569166.6666666665,0.22407776539586377
3487750.0,0.23401566702265064
3406416.6666666665,0.24076168262831163
3410166.6666666665,0.24982448428905457
3236250.0,0.24087754228615024
3307416.6666666665,0.2439217758985201
3219666.6666666665,0.23877387058896235
3700583.333333333,0.25412603580094306
3958166.6666666665,0.2508529358951338
3929083.333333333,0.23409230830337815
3912833.333333333,0.22407276614427243
4084583.333333333,0.2314353572221147
4632416.666666666,0.21782608866022202
3900583.333333333,0.20294574181184366
4510333.333333333,0.21887561569382324
4647583.333333333,0.2185512471344319
4590250.0,0.21384978530775145
4635500.0,0.21348715645976535
4826500.0,0.22125022920359394
4576666.666666666,0.21382129647654272
4246166.666666666,0.20167102695728234
4214333.333333333,0.20765292086342751
4287083.333333333,0.22302230006242632
4099833.333333333,0.22361202645274186
3864166.6666666665,0.22628342767909426
4117666.6666666665,0.22360596982505046
3496666.6666666665,0.23323420694255304
3306749.9999999995,0.23167463612001468
3310666.6666666665,0.2373691506142154
3216250.0,0.23465572275421798
3077166.6666666665,0.22266173819186078
3592250.0,0.23848171015070038
3966083.333333333,0.24033348650955164
3978083.333333333,0.2222455003398605
4051833.333333333,0.21736525875326349
4283333.333333333,0.2224357143475363
4422500.0,0.21639055498244658
4478083.333333333,0.20260757765989135
4558500.0,0.19686184186849967
4710750.0,0.19787593767830328
