Time Stamp,Time Zone,Fuel Category,Gen MW
12/30/2021 04:05:00,EST,Dual Fuel,3284.0
12/30/2021 04:05:00,EST,Natural Gas,1635.0
12/30/2021 04:05:00,EST,Nuclear,3329.0
12/30/2021 04:05:00,EST,Other Fossil Fuels,3.0
12/30/2021 04:05:00,EST,Other Renewables,244.0
12/30/2021 04:05:00,EST,Wind,33.0
12/30/2021 04:05:00,EST,Hydro,2983.0
12/30/2021 04:10:00,EST,Dual Fuel,3228.0
12/30/2021 04:10:00,EST,Natural Gas,1637.0
12/30/2021 04:10:00,EST,Nuclear,3333.0
12/30/2021 04:10:00,EST,Other Fossil Fuels,3.0
12/30/2021 04:10:00,EST,Other Renewables,241.0
12/30/2021 04:10:00,EST,Wind,31.0
12/30/2021 04:10:00,EST,Hydro,2969.0
12/30/2021 04:15:00,EST,Dual Fuel,3254.0
12/30/2021 04:15:00,EST,Natural Gas,1634.0
12/30/2021 04:15:00,EST,Nuclear,3351.0
12/30/2021 04:15:00,EST,Other Fossil Fuels,3.0
12/30/2021 04:15:00,EST,Other Renewables,245.0
12/30/2021 04:15:00,EST,Wind,37.0
12/30/2021 04:15:00,EST,Hydro,2978.0
12/30/2021 04:20:00,EST,Dual Fuel,3286.0
12/30/2021 04:20:00,EST,Natural Gas,1631.0
12/30/2021 04:20:00,EST,Nuclear,3352.0
12/30/2021 04:20:00,EST,Other Fossil Fuels,3.0
12/30/2021 04:20:00,EST,Other Renewables,244.0
12/30/2021 04:20:00,EST,Wind,33.0
12/30/2021 04:20:00,EST,Hydro,3003.0
12/30/2021 04:25:00,EST,Dual Fuel,3316.0
12/30/2021 04:25:00,EST,Natural Gas,1629.0
12/30/2021 04:25:00,EST,Nuclear,3349.0
12/30/2021 04:25:00,EST,Other Fossil Fuels,3.0
12/30/2021 04:25:00,EST,Other Renewables,248.0
12/30/2021 04:25:00,EST,Wind,24.0
12/30/2021 04:25:00,EST,Hydro,3033.0
12/30/2021 04:30:00,EST,Dual Fuel,3334.0
