Renewable Sources [kWh],Renewable Share
3754500.0,0.23746060882834624
3861000.0,0.24462151929375356
3911000.0,0.245681273231525
3928500.0,0.246215934832849
3948500.0,0.24476953111496075
3949500.0,0.2484544213316769
4073000.0,0.25706857054843035
3987000.0,0.2579990036486134
3808500.0,0.25476264852686126
3084000.0,0.23085034269789861
2921500.0,0.24243290385234345
2837500.0,0.24478474337698614
2708000.0,0.2424447975419458
2706000.0,0.2480643128458088
2746500.0,0.24991982695213377
2758000.0,0.24408969046664536
3489000.0,0.275006393142766
3712000.0,0.26952615737663643
3748000.0,0.2553323777462282
3795500.0,0.2520307027424342
3812500.0,0.24952035603413503
3833000.0,0.24709089021274627
3925000.0,0.2473692301005101
3839500.0,0.23581048700507287
3797500.0,0.22646345680666685
3881500.0,0.22894246046960987
3986000.0,0.2278994029663875
4186000.0,0.23772258653685605
4155000.0,0.23995501676432246
3989000.0,0.23893252281348165
3986000.0,0.23915466142180425
3904500.0,0.2369147525613567
3686000.0,0.23388514712113279
3116000.0,0.21740719087985969
2701000.0,0.21286496012065767
2727500.0,0.21834717744367013
2757500.0,0.23180485298980213
2751000.0,0.23282293830978684
2787000.0,0.2362784839536064
2950000.0,0.24307213437889955
3525000.0,0.2734598991771733
3721500.0,0.26349904374176786
3924000.0,0.26240666795723755
3828500.0,0.2436220572457703
3842500.0,0.23617590657150278
3894500.0,0.23014936290563814
3923000.0,0.22073384220234887
4367000.0,0.23026354658010328
4336500.0,0.21968858741503386
4407500.0,0.22031351730355087
4591500.0,0.22593090708159547
4866000.0,0.23395357218149676
4696500.0,0.22916610416587918
4237500.0,0.21708129263836182
3853500.0,0.2057681829993185
3947000.0,0.2188713494897206
3656000.0,0.22095678411354047
3382500.0,0.20924799256824797
3198000.0,0.2236029156542867
3154500.0,0.23752351094158028
3134000.0,0.24582514815243622
3112500.0,0.2507567458814862
3021000.0,0.2508209742153171
2995500.0,0.24247249916282912
3499500.0,0.2753215777963986
3675500.0,0.27591916235479075
3680500.0,0.26378329281058055
3430000.0,0.22838869129412392
3502500.0,0.21988962890402114
3590000.0,0.21660618738845366
3789500.0,0.2196515902409102
3954500.0,0.221769656318773
3966500.0,0.21813455718743346
3872000.0,0.20954739633738195
3855000.0,0.2109564671466937
3783000.0,0.21019410384389273
3701500.0,0.21063107346952115
3520500.0,0.20269704694905302
3503000.0,0.20452757118261244
3428000.0,0.20606398922704228
3051000.0,0.19322576848520684
2716500.0,0.1817525316810783
2418000.0,0.18034257522666997
2410000.0,0.18844531575045853
2378500.0,0.19180924839701802
2426500.0,0.20225610358216548
2481000.0,0.2077779832590703
2542000.0,0.21225144315678718
3012500.0,0.24353852492344202
3106500.0,0.24141287611416856
3210500.0,0.23686310402576738
3485500.0,0.24420247396754738
3627000.0,0.24444420577286652
3652000.0,0.23090330710371657
3733000.0,0.22623623682985694
3657500.0,0.22239091735953542
3631000.0,0.22020665199835646
3762000.0,0.22325344308557876
3798500.0,0.22314400871816237
3823500.0,0.22013834633411733
3924000.0,0.22412037092333942
3922500.0,0.22913207022851417
3724000.0,0.22234170300674141
3951000.0,0.23980847003896294
3932500.0,0.24906075258345967
3616500.0,0.2546917935895193
2947000.0,0.2218230144871149
3036500.0,0.23634773153825908
3072000.0,0.23922468456618812
3162000.0,0.24761385141893705
3117500.0,0.24620891281225385
3096500.0,0.2421055909122551
3763000.0,0.26917820994255304
4168500.0,0.2702861465534817
4192000.0,0.2588169766111662
4096000.0,0.24304079306657125
3687000.0,0.2135101566638368
3773500.0,0.21550901240302034
3912000.0,0.2165134602757715
4060000.0,0.21877612771303512
4103000.0,0.21286284556405866
4186500.0,0.2132642496731228
4153000.0,0.21404130461322374
4330500.0,0.21788696446418826
4327000.0,0.21798686653941848
4272500.0,0.22270180446438498
4282500.0,0.22889009049013423
3991000.0,0.22582978123237007
4118000.0,0.24016453586531156
3613500.0,0.22627814775540978
3536000.0,0.237413408837986
3411000.0,0.24067254040042035
3405500.0,0.24912476475160789
3235500.0,0.24180165671038273
3314000.0,0.24464921096291292
3223000.0,0.23774356381622433
3779500.0,0.25411597274604536
3923000.0,0.2511988134370904
3937500.0,0.23284685988519604
3903500.0,0.2241224073084528
4083500.0,0.23167641605721523
3943000.0,0.21588331069838787
3878500.0,0.20293679475949794
4531000.0,0.21947898022528334
4644000.0,0.21837650114407017
4608000.0,0.21419439698855725
4627500.0,0.21310487332739877
4868500.0,0.22320178931704182
4566000.0,0.21310670888809585
4198500.0,0.19905062624692596
4210500.0,0.20754941719938888
4305500.0,0.22573370473310958
4107000.0,0.22406150414254272
3866000.0,0.22741374728129696
3513500.0,0.22341666863964282
3502500.0,0.233088135124195
